iter	RMSE
0	1.391550834
1	1.382297086
2	1.37288286
3	1.363999102
4	1.355227747
5	1.346684253
6	1.338146114
7	1.329698352
8	1.321275457
9	1.313143429
10	1.305378317
11	1.297477077
12	1.289317655
13	1.281473619
14	1.273886724
15	1.265788642
16	1.258361486
17	1.250512952
18	1.243429009
19	1.236392304
20	1.228960909
21	1.22160599
22	1.214108307
23	1.207938791
24	1.201491893
25	1.194807466
26	1.187947561
27	1.180723173
28	1.174019919
29	1.16773902
30	1.160986039
31	1.154889658
32	1.148630825
33	1.142215422
34	1.135882619
35	1.129933313
36	1.123659021
37	1.117678743
38	1.111765116
39	1.105889429
40	1.100079444
41	1.09429235
42	1.088503621
43	1.08324428
44	1.078281584
45	1.072842639
46	1.067665682
47	1.062231029
48	1.057328744
49	1.052410631
50	1.047303429
51	1.042087682
52	1.037081085
53	1.032505518
54	1.027585205
55	1.022611231
56	1.017784066
57	1.0131002
58	1.008246297
59	1.003760786
60	0.9992065912
61	0.9945570466
62	0.9903359485
63	0.9858001528
64	0.9813169484
65	0.9776432612
66	0.9735396019
67	0.969589512
68	0.9652227616
69	0.9614311441
70	0.9573314075
71	0.9533252873
72	0.9498190059
73	0.9460507856
74	0.9427222186
75	0.9389929244
76	0.935526217
77	0.9319041801
78	0.9285398904
79	0.9249746455
80	0.9215286635
81	0.9181084009
82	0.9149878239
83	0.9115610716
84	0.9083012992
85	0.9054608483
86	0.9024815698
87	0.8993629158
88	0.8962561156
89	0.8931210115
90	0.8899642988
91	0.8867874952
92	0.8840374378
93	0.8810998249
94	0.878221057
95	0.8753199312
96	0.8727548885
97	0.870258137
98	0.8678314025
99	0.8650346676
100	0.8621731277
101	0.8595257572
102	0.8568576352
103	0.8543926911
104	0.8520320393
105	0.8496896918
106	0.8474886306
107	0.8450965944
108	0.8427132266
109	0.8403718492
110	0.8380151908
111	0.8355714504
112	0.8332708562
113	0.8311392019
114	0.8292755909
115	0.8271904142
116	0.8252643252
117	0.8233274902
118	0.8212249084
119	0.8192001724
120	0.817324944
121	0.8152644892
122	0.8131779523
123	0.8114635433
124	0.80970784
125	0.8076609588
126	0.8056712587
127	0.804090373
128	0.8022236859
129	0.8003322769
130	0.7985403733
131	0.7968749553
132	0.7953459813
133	0.793771885
134	0.7921913959
135	0.7907742936
136	0.7891202446
137	0.7874734179
138	0.7859054366
139	0.7845773338
140	0.7830450092
141	0.7815390085
142	0.7800142809
143	0.7787010958
144	0.77742285
145	0.7758313849
146	0.7744620424
147	0.7730566374
148	0.7716352145
149	0.7704201329
150	0.7691889715
151	0.7680027401
152	0.7667242251
153	0.7654705905
154	0.7642295464
155	0.7628135351
156	0.7618075966
157	0.7608200558
158	0.7597298053
159	0.758541961
160	0.757474914
161	0.7563492026
162	0.7552273089
163	0.7539720333
164	0.7529347504
165	0.7518502643
166	0.7508355957
167	0.7498423965
168	0.7488618852
169	0.7476910458
170	0.7467478729
171	0.7459265691
172	0.7449537465
173	0.7439272308
174	0.7430322799
175	0.7421799262
176	0.7413768691
177	0.7404996596
178	0.7396505348
179	0.7388287418
180	0.7380304474
181	0.7371734237
182	0.7362914005
183	0.7354590278
184	0.7351141277
185	0.7344245643
186	0.7335088312
187	0.7326398865
188	0.7319502076
189	0.7312823512
190	0.7306587125
191	0.7298482868
192	0.7290764674
193	0.7284505084
194	0.7277342069
195	0.7270607112
196	0.7263662893
197	0.7256410203
198	0.7250276088
199	0.7243900197
200	0.7236512604
201	0.722868305
202	0.7222455027
203	0.7216931822
204	0.7211235949
205	0.7204677513
206	0.719849324
207	0.7193426844
208	0.7186994748
