iter	Passed	Remaining
0	47	47563
1	48	24126
2	48	16261
3	49	12298
4	49	9942
5	50	8368
6	51	7243
7	51	6382
8	51	5719
9	52	5190
10	53	4770
11	53	4420
12	54	4115
13	54	3828
14	54	3579
15	54	3361
16	54	3169
17	54	2999
18	55	2846
19	55	2708
20	55	2584
21	55	2471
22	55	2368
23	55	2273
24	56	2185
25	56	2103
26	56	2029
27	56	1959
28	56	1894
29	56	1835
30	56	1779
31	57	1726
32	57	1676
33	57	1630
34	57	1586
35	57	1543
36	57	1504
37	57	1467
38	58	1432
39	58	1398
40	58	1366
41	58	1336
42	58	1307
43	58	1279
44	59	1253
45	59	1227
46	59	1203
47	59	1179
48	59	1157
49	59	1135
50	59	1114
51	60	1094
52	60	1075
53	60	1057
54	60	1039
55	60	1022
56	60	1006
57	60	990
58	61	974
59	61	959
60	61	945
61	61	931
62	61	917
63	61	904
64	62	891
65	62	879
66	62	867
67	62	855
68	62	844
69	62	833
70	62	822
71	63	812
72	63	801
73	63	792
74	63	782
75	63	772
76	63	763
77	63	755
78	64	746
79	64	738
80	64	729
81	64	721
82	64	713
83	64	706
84	64	698
85	65	691
86	65	684
87	65	677
88	65	670
89	65	663
90	65	657
91	65	650
92	66	644
93	66	638
94	66	632
95	66	626
96	66	621
97	66	616
98	67	610
99	67	605
100	67	600
101	67	595
102	67	590
103	67	585
104	68	580
105	68	575
106	68	571
107	68	566
108	68	561
109	68	557
110	69	553
111	69	548
112	69	544
113	69	540
114	69	536
115	69	531
116	69	528
117	70	524
118	70	520
119	70	516
120	70	512
121	70	508
122	70	505
123	71	501
124	71	498
125	71	494
126	71	491
127	71	488
128	71	484
129	71	481
130	72	478
131	72	475
132	72	472
133	72	469
134	72	466
135	72	462
136	73	459
137	73	456
138	73	454
139	73	451
140	73	448
141	73	445
142	73	442
143	74	440
144	74	437
145	74	434
146	74	432
147	74	429
148	74	427
149	74	424
150	75	422
151	75	419
152	75	417
153	75	414
154	75	412
155	75	410
156	75	407
157	76	405
158	76	403
159	76	400
160	76	398
161	76	396
162	76	394
163	76	392
164	77	390
165	77	388
166	77	386
167	77	384
168	77	382
169	77	380
170	78	378
171	78	376
172	78	374
173	78	372
174	78	370
175	78	368
176	78	366
177	79	365
178	79	363
179	79	361
180	79	359
181	79	358
182	79	356
183	79	354
184	80	352
185	80	351
186	80	349
187	80	347
188	80	346
189	80	344
190	80	343
